URL,Event Title,Event Date
https://www.newtown-ct.gov/parks-recreation/events/263521,LADY NIGHTHAWK BASKETBALL CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263526,YGB BASKETBALL STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263531,CHALLENGER SPORTS SOCCER STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263536,GIRLS YOUTH SUMMER SOCCER CLINIC STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263541,COMMUNITY ATHLETIC SOLUTIONS SOCCER CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263546,LADY NIGHTHAWK PRE SEASON TRAINING STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263551,BOYS LACROSSE CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263556,MIDDLE SCHOOL VOLLEYBALL CLINIC STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263561,HIGH SCHOOL JV & VARSITY VOLLEYBALL CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263566,NIGHTHAWK GIRLS LACROSSE CAMP,
https://www.newtown-ct.gov/parks-recreation/events/263571,HIGH SCHOOL GIRLS VOLLEYBALL STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263576,INCOMING FRESHMEN VOLLEYBALL CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263581,BRUSHY HILL SUMMER HORSE RIDING CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263586,SUMMER BRUSHY HILL HORSE RIDING LESSONS AVAILABLE,
https://www.newtown-ct.gov/parks-recreation/events/263591,KARATE TANG SOO DO STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263596,YOUTH KARATE STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263606,LITTLE DRAGONS KARATE STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263611,KARATE SUMMER CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263616,JUNIOR GOLF LESSONS WITH GOLF QUEST STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263621,SUMMER JUNIOR GOLF CAMP  AT GOLF QUEST STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263626,ADULT NOVICE GOLF QUEST LESSONS START,
https://www.newtown-ct.gov/parks-recreation/events/263631,WOMEN’S ONLY GOLF QUEST LESSONS START,
https://www.newtown-ct.gov/parks-recreation/events/263636,GOLF QUEST SHORT GAME SCHOOL STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263641,FOX RIDGE FARM HORSEBACK RIDING STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263646,CHILD & BABYSITTING SAFETY (CABS) PROGRAM STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263651,PICKLEBALL - BEGINNER LESSONS START,
https://www.newtown-ct.gov/parks-recreation/events/263656,PICKLEBALL - INTERMEDIATE LESSONS START,
https://www.newtown-ct.gov/parks-recreation/events/263661,SUMMER SANDLOT BASEBALL CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263666,DOUBLE PLAY BASEBALL CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263671,User account,
